Order Country,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Barbados,114,65,49,0.7982456140350878,57.01754385964912,42.98245614035088,42.98245614035088,99.52449523538075
China,5499,3123,2376,0.5561011092925987,56.79214402618658,43.207855973813416,43.207855973813416,99.13105835380061
Australia,8136,4613,3523,0.575589970501475,56.69862340216323,43.30137659783678,43.30137659783678,98.96781749370793
Uruguay,138,78,60,0.41304347826086957,56.52173913043478,43.47826086956522,43.47826086956522,98.65906484202961
Myanmar (Birmania),393,222,171,0.41475826972010177,56.48854961832062,43.51145038167939,43.51145038167939,98.60113233184642
Lituania,131,74,57,0.4732824427480916,56.48854961832062,43.51145038167939,43.51145038167939,98.60113233184642
Irán,1412,797,615,0.5375354107648725,56.444759206798864,43.555240793201136,43.555240793201136,98.52469588250408
Marruecos,1095,618,477,0.5863013698630137,56.43835616438356,43.56164383561644,43.56164383561644,98.51351933014463
Qatar,39,22,17,0.41025641025641024,56.41025641025641,43.58974358974359,43.58974358974359,98.46447102577315
Polonia,634,357,277,0.48580441640378547,56.30914826498423,43.69085173501578,43.69085173501578,98.2879860977803
Italia,4763,2672,2091,0.47994961158933447,56.099097207642245,43.90090279235776,43.90090279235776,97.92134060517405
Argelia,489,274,215,0.6728016359918201,56.032719836400815,43.967280163599185,43.967280163599185,97.80547847010706
Papúa Nueva Guinea,59,33,26,0.03389830508474576,55.932203389830505,44.06779661016949,44.06779661016949,97.6300263560632
Reino Unido,6992,3903,3089,0.5247425629290617,55.82093821510298,44.17906178489702,44.17906178489702,97.43581226681215
Ucrania,952,527,425,0.5315126050420168,55.35714285714286,44.642857142857146,44.642857142857146,96.62625444006473
República Checa,181,100,81,0.430939226519337,55.24861878453039,44.751381215469614,44.751381215469614,96.4368249624599
SudAfrica,1047,578,469,0.46131805157593125,55.205348615090735,44.794651384909265,44.794651384909265,96.36129659906999
Noruega,323,178,145,0.6965944272445821,55.10835913312694,44.89164086687307,44.89164086687307,96.1920008247843
Haití,525,289,236,0.518095238095238,55.047619047619044,44.952380952380956,44.952380952380956,96.08597860878693
Honduras,3494,1919,1575,0.45306239267315396,54.92272467086434,45.07727532913567,45.07727532913567,95.86797465837394
Nigeria,2237,1225,1012,0.5645954403218596,54.760840411265086,45.239159588734914,45.239159588734914,95.58540462584452
Singapur,444,243,201,0.46396396396396394,54.729729729729726,45.27027027027027,45.27027027027027,95.53110072801516
Vietnam,720,394,326,0.4444444444444444,54.72222222222223,45.27777777777778,45.27777777777778,95.51799632462313
Argentina,1835,999,836,0.470299727520436,54.44141689373298,45.55858310626703,45.55858310626703,95.02784878957513
Nueva Zelanda,1538,836,702,0.4928478543563069,54.35630689206762,45.64369310793238,45.64369310793238,94.879288725745
Colombia,1681,908,773,0.46222486615110053,54.01546698393813,45.98453301606187,45.98453301606187,94.28435043979987
Cuba,3354,1798,1556,0.4639236732259988,53.60763267740012,46.39236732259988,46.39236732259988,93.57247299383728
Guinea-Bissau,28,15,13,0.4642857142857143,53.57142857142857,46.42857142857143,46.42857142857143,93.5092784903852
Japón,734,392,342,0.4223433242506812,53.40599455040872,46.59400544959128,46.59400544959128,93.22051232610973
Jordania,105,56,49,0.5333333333333333,53.333333333333336,46.666666666666664,46.666666666666664,93.09368169709462
Portugal,317,169,148,0.47318611987381703,53.31230283911672,46.68769716088328,46.68769716088328,93.05697283207209
Madagascar,139,74,65,0.8633093525179856,53.23741007194245,46.76258992805755,46.76258992805755,92.9262470177833
Irak,919,488,431,0.47442872687704024,53.10119695321001,46.898803046789986,46.898803046789986,92.68848612931617
